time_s,K_filt
0.0,0.061184
0.04,0.118288
0.08,0.173432
0.12,0.224506
0.16,0.274037
0.2,0.257579
0.24,0.243528
0.28,0.228056
0.32,0.215237
0.36,0.200578
0.4,0.189406
0.44,0.176743
0.48,0.166327
0.52,0.154733
0.56,0.14569
0.6,0.135429
0.64,0.127466
0.68,0.118607
0.72,0.111315
0.76,0.101975
0.8,0.094461
0.84,0.086244
0.88,0.079048
0.92,0.071911
0.96,0.066786
1.0,0.061428
1.04,0.056815
1.08,0.052367
1.12,0.048041
1.16,0.043924
1.2,0.039879
1.24,0.036118
1.28,0.032686
1.32,0.029264
1.36,0.026286
1.4,0.023689
1.44,0.02128
1.48,0.019224
1.52,0.017781
1.56,0.016147
1.6,0.014904
1.64,0.013752
1.68,0.012862
1.72,0.012248
1.76,0.012085
1.8,0.012087
1.84,0.012286
1.88,0.012603
1.92,0.012976
1.96,0.012314
2.0,0.011721
2.04,0.010028
2.08,0.008419
2.12,0.006007
2.16,0.004901
2.2,0.00298
2.24,0.002731
2.28,0.001736
2.32,0.001791
2.36,-7.3e-05
2.4,-0.000757
2.44,-0.003835
2.48,-0.006218
2.52,-0.008751
2.56,-0.00953
2.6,-0.010732
2.64,-0.00981
2.68,-0.009059
2.72,-0.008436
2.76,-0.007814
2.8,-0.007204
2.84,-0.006697
2.88,-0.006227
2.92,-0.005789
2.96,-0.005422
3.0,-0.004982
3.04,-0.004599
3.08,-0.004099
3.12,-0.003618
3.16,-0.003125
3.2,-0.002721
3.24,-0.002266
3.28,-0.00188
3.32,-0.001481
3.36,-0.001204
3.4,-0.001006
3.44,-0.000888
3.48,-0.000931
3.52,-0.001014
3.56,-0.001041
3.6,-0.001059
3.64,-0.001187
3.68,-0.001256
3.72,-0.001277
3.76,-0.001309
3.8,-0.001295
3.84,-0.001357
3.88,-0.001528
3.92,-0.001748
3.96,-0.001839
4.0,-0.001981
4.04,-0.001952
4.08,-0.001865
4.12,-0.001794
4.16,-0.001772
4.2,-0.001702
4.24,-0.001578
4.28,-0.001346
4.32,-0.001157
4.36,-0.000923
4.4,-0.000759
4.44,-0.000637
4.48,-0.000543
4.52,-0.000354
4.56,-0.000316
4.6,-0.000156
4.64,-9.3e-05
4.68,0.000105
4.72,0.000197
4.76,0.000239
4.8,0.000276
4.84,0.000353
4.88,0.000136
4.92,8.8e-05
4.96,0.000127
5.0,-1.1e-05
5.04,-4.4e-05
5.08,5.8e-05
5.12,1.9e-05
5.16,5.5e-05
5.2,0.000242
5.24,0.000289
5.28,0.000325
5.32,0.000367
5.36,0.000313
5.4,0.000249
5.44,0.000211
5.48,0.000202
5.52,0.000244
5.56,0.000263
5.6,0.000377
5.64,0.000507
5.68,0.000668
5.72,0.000767
5.76,0.000913
5.8,0.000935
5.84,0.000866
5.88,0.000782
5.92,0.000777
5.96,0.000691
6.0,0.00059
6.04,0.000626
6.08,0.000717
6.12,0.000668
6.16,0.00067
