time_s,SPG
0.0,9.2
0.0017440319061279297,9.14
0.0017440319061279297,10.39
0.0017440319061279297,9.6
0.0017440319061279297,9.36
0.0017440319061279297,8.9
0.0017440319061279297,7.5
0.0017440319061279297,8.46
0.0017440319061279297,6.28
0.0017440319061279297,5.48
0.0017440319061279297,5.05
0.0017440319061279297,4.92
0.0017440319061279297,5.48
0.0017440319061279297,5.95
0.0017440319061279297,5.48
0.0017440319061279297,5.42
0.0017440319061279297,5.77
0.0017440319061279297,7.01
0.0017440319061279297,7.54
0.0017440319061279297,7.47
0.0017440319061279297,7.24
0.0017440319061279297,6.99
0.0017440319061279297,6.68
0.0017440319061279297,6.87
0.0017440319061279297,6.74
0.0017440319061279297,7.17
0.0017440319061279297,7.93
0.0017440319061279297,8.07
0.0017440319061279297,7.68
0.0017440319061279297,8.07
0.0017440319061279297,10.79
0.0017440319061279297,28.78
0.0017440319061279297,29.13
0.0017440319061279297,29.23
0.0017440319061279297,29.95
0.0017440319061279297,26.07
0.0017440319061279297,26.34
0.0017440319061279297,23.94
0.0017440319061279297,23.29
0.0017440319061279297,23.94
0.0017440319061279297,25.35
0.0017440319061279297,25.93
0.0017440319061279297,27.15
0.0017440319061279297,26.94
0.0017440319061279297,30.44
0.0017440319061279297,38.21
0.0017440319061279297,26.19
0.0017440319061279297,27.74
0.0017440319061279297,24.3
0.0017440319061279297,30.07
0.0017440319061279297,25.26
0.054299354553222656,24.71
0.08145904541015625,22.9
0.1332693099975586,21.87
0.17282414436340332,21.34
0.2084484100341797,22.95
0.24082446098327637,21.72
0.2807185649871826,22.57
0.3284597396850586,22.54
0.3677999973297119,23.12
0.40816473960876465,22.24
0.4401218891143799,23.4
0.48809123039245605,22.79
0.519881010055542,22.55
0.5684003829956055,21.83
0.6004147529602051,21.28
0.6484954357147217,24.13
0.68045973777771,23.34
0.7281291484832764,23.48
0.7619261741638184,23.41
0.8128817081451416,23.77
0.8447835445404053,23.53
0.8927481174468994,24.92
0.9249491691589355,24.42
0.9741921424865723,23.83
1.0051112174987793,24.7
1.0527780055999756,23.07
1.085162878036499,23.97
1.133424997329712,22.88
1.1656584739685059,25.3
1.2134320735931396,24.36
1.2526047229766846,23.94
1.2930927276611328,24.0
1.3307743072509766,23.79
1.3620901107788086,24.99
1.4104061126708984,25.56
1.4425125122070312,25.35
1.4910354614257812,26.26
1.5234003067016602,26.44
1.5719084739685059,24.07
1.6038916110992432,24.74
1.6523540019989014,25.08
1.6846189498901367,24.33
1.732388973236084,25.09
1.7643043994903564,25.84
1.8122937679290771,24.94
1.853513479232788,26.8
1.8796873092651367,26.09
1.9277217388153076,25.0
1.9719231128692627,24.38
2.006638526916504,23.11
2.0384504795074463,26.07
2.0870630741119385,26.42
2.1233420372009277,29.35
2.167107105255127,30.88
2.1989402770996094,32.04
2.2468292713165283,31.35
2.2788565158843994,33.79
2.3270010948181152,30.98
2.359374761581421,33.57
2.413130283355713,29.74
2.4448630809783936,29.02
2.4929306507110596,28.08
2.524862289428711,28.98
2.5724375247955322,29.47
2.604325532913208,28.77
2.6521425247192383,26.01
2.684413433074951,26.74
2.732227087020874,24.72
2.7642886638641357,23.81
2.812121868133545,17.54
2.844257354736328,11.14
2.8930768966674805,8.04
2.9332587718963623,7.44
2.962977886199951,6.51
3.0108532905578613,6.54
3.042965888977051,6.33
3.0910565853118896,6.23
3.128974676132202,6.33
3.1708669662475586,6.18
3.2032980918884277,6.14
3.2510926723480225,6.08
3.283031940460205,6.73
3.3309013843536377,12.3
3.3627443313598633,18.08
3.410804271697998,21.86
3.447549819946289,22.05
3.4789512157440186,24.12
3.526756525039673,23.3
3.5587921142578125,22.95
3.6072096824645996,24.1
3.640564441680908,24.48
3.6871604919433594,24.14
3.7194254398345947,26.23
3.7674689292907715,24.64
3.799575090408325,24.57
3.8478004932403564,26.16
3.8800134658813477,24.92
3.9283511638641357,26.58
3.9725730419158936,22.99
4.012240171432495,25.04
4.04400110244751,26.8
4.092196702957153,25.97
4.131445646286011,26.15
4.1725006103515625,25.9
4.204349040985107,25.74
4.2527289390563965,25.34
4.284548044204712,25.91
4.316919565200806,24.32
4.364992141723633,25.57
4.396956205368042,26.26
4.444633483886719,25.16
4.4922003746032715,25.43
4.529412269592285,22.52
4.561368227005005,24.5
4.609333038330078,26.04
4.641564607620239,25.74
4.689114809036255,24.24
4.721487283706665,24.03
4.769352912902832,24.18
4.801395654678345,23.39
4.849311351776123,25.45
4.881229877471924,25.02
4.929138660430908,24.15
4.961130857467651,24.91
5.009134531021118,26.3
5.047302722930908,24.67
5.079257011413574,25.59
5.126715660095215,25.19
5.158604383468628,26.78
5.206393480300903,26.31
5.238500356674194,28.1
5.291662931442261,26.67
5.330274343490601,27.04
5.36216926574707,29.73
5.4112231731414795,27.19
5.442100286483765,28.44
5.49008321762085,28.36
5.522112607955933,28.33
5.571817636489868,27.21
5.596418380737305,29.32
5.644443511962891,24.74
5.692084550857544,27.65
5.724520206451416,25.11
5.756388902664185,27.2
5.806384563446045,26.3
5.836650133132935,25.78
5.8851869106292725,26.49
5.9174230098724365,26.85
5.965400695800781,27.18
5.997256755828857,26.15
6.045243740081787,28.37
6.091684579849243,26.37
6.129104137420654,26.73
6.1608757972717285,26.43
6.2085041999816895,28.41
6.240512132644653,26.37
6.288703918457031,24.68
6.3207995891571045,12.72
6.368782043457031,8.48
6.40100884437561,7.52
6.448642253875732,6.86
6.4874794483184814,6.89
6.528715372085571,8.3
6.570838451385498,14.02
6.608081340789795,24.71
6.648616552352905,26.67
6.677558183670044,26.41
6.729465007781982,25.99
6.7657952308654785,26.44
6.804576396942139,27.25
6.836744546890259,26.4
6.8843464851379395,26.56
6.916391611099243,28.07
6.964367866516113,28.07
6.996495008468628,27.38
7.044106721878052,27.53
7.076349258422852,27.3
7.12396240234375,25.74
7.166888236999512,26.1
7.195969104766846,25.78
7.247085094451904,27.83
7.291143894195557,25.71
7.323332786560059,25.28
7.37094783782959,26.91
7.4027016162872314,26.9
7.450767993927002,26.27
7.4827258586883545,27.77
7.530569553375244,26.25
7.564704418182373,26.73
7.610415935516357,25.96
7.649184465408325,25.73
7.690837621688843,26.78
7.7291083335876465,26.76
7.76133918762207,26.37
7.8091514110565186,26.33
7.841087341308594,26.24
7.88959002494812,26.8
7.916198968887329,25.54
7.965425729751587,24.57
7.9965128898620605,24.51
8.044111967086792,25.17
8.088724374771118,25.5
8.12321400642395,27.32
8.155117273330688,24.79
8.204623937606812,25.63
8.246512174606323,25.42
8.278388023376465,24.0
8.326611995697021,25.84
8.36477017402649,26.69
8.406646490097046,24.78
8.444125652313232,24.53
8.485970497131348,24.11
8.528491735458374,24.22
8.56439757347107,22.71
8.609965324401855,23.51
8.647947311401367,25.22
8.679988145828247,24.96
8.723466157913208,26.37
8.763378620147705,25.47
8.794963836669922,26.79
8.842371940612793,27.01
8.889681339263916,26.53
8.929816484451294,25.54
8.968807458877563,26.44
9.003560543060303,27.15
9.048484563827515,26.32
9.081375360488892,27.69
9.127867460250854,27.14
9.15946912765503,27.36
9.208735942840576,25.79
9.249344825744629,27.75
9.289821863174438,27.82
9.32878851890564,26.29
9.360122680664062,27.79
9.40755295753479,26.63
9.449432849884033,28.22
9.489976406097412,27.2
9.522847175598145,28.06
9.566931247711182,27.83
9.599168539047241,27.11
9.646080732345581,27.38
9.68988037109375,24.39
9.72510552406311,21.9
9.76794171333313,19.19
9.809337615966797,17.2
9.845548152923584,17.0
9.888427257537842,17.76
9.924786567687988,19.45
9.961126565933228,24.17
10.005998134613037,26.22
10.047403335571289,27.95
10.089798212051392,29.01
10.115188121795654,27.61
10.162659406661987,27.67
10.194567441940308,27.13
10.2425057888031,27.31
10.2743501663208,26.98
10.327929735183716,25.82
10.3627347946167,27.41
10.395019769668579,28.58
10.442978382110596,28.71
10.47487735748291,28.15
10.522907733917236,27.43
10.555072784423828,28.33
10.603200197219849,29.05
10.63496708869934,26.31
10.687692642211914,26.91
10.71665644645691,28.52
10.762210845947266,27.67
10.794287204742432,26.95
10.842540740966797,26.13
10.880760431289673,28.49
10.92824411392212,26.53
10.966281175613403,26.27
11.008472204208374,28.29
11.040202856063843,27.96
11.088136911392212,28.49
11.120394945144653,27.68
11.167844295501709,27.92
11.199422597885132,28.12
11.247464895248413,28.53
11.279751777648926,27.23
11.327373027801514,27.57
11.367966651916504,28.01
11.39787220954895,26.08
11.445018529891968,28.24
