time_s,K_filt
0.0,1e-05
0.04,0.03407
0.08,0.071859
0.12,0.109436
0.16,0.143981
0.2,0.168194
0.24,0.157041
0.28,0.142813
0.32,0.130927
0.36,0.124127
0.4,0.125913
0.44,0.115211
0.48,0.097576
0.52,0.074784
0.56,0.048925
0.6,0.02538
0.64,0.016065
0.68,0.012123
0.72,0.009878
0.76,0.007822
0.8,0.006911
0.84,0.010135
0.88,0.015912
0.92,0.024505
0.96,0.033925
1.0,0.040905
1.04,0.041749
1.08,0.03983
1.12,0.035123
1.16,0.029762
1.2,0.024765
1.24,0.020082
1.28,0.014332
1.32,0.008451
1.36,0.002326
1.4,-0.004034
1.44,-0.008931
1.48,-0.011237
1.52,-0.011916
1.56,-0.010979
1.6,-0.008285
1.64,-0.005306
1.68,-0.002761
1.72,-0.001017
1.76,-0.000939
1.8,-0.002325
1.84,-0.003786
1.88,-0.004275
1.92,-0.003993
1.96,-0.00185
2.0,0.001338
2.04,0.004384
2.08,0.006885
2.12,0.005605
2.16,0.002272
2.2,-0.00121
2.24,-0.003653
2.28,-0.00448
2.32,-0.000364
2.36,0.004527
2.4,0.007008
2.44,0.007223
2.48,0.005149
2.52,0.001933
2.56,-0.000734
2.6,-0.002039
2.64,-0.003067
2.68,-0.004208
2.72,-0.005462
2.76,-0.006583
2.8,-0.006553
2.84,-0.00486
2.88,-0.002433
2.92,0.000273
2.96,0.00288
3.0,0.005025
3.04,0.00599
3.08,0.006151
3.12,0.005791
3.16,0.00516
3.2,0.004192
3.24,0.003385
3.28,0.003277
3.32,0.00388
3.36,0.004866
3.4,0.005898
3.44,0.006901
3.48,0.007721
3.52,0.008294
3.56,0.008625
3.6,0.009021
3.64,0.009368
3.68,0.009207
3.72,0.008379
3.76,0.007095
3.8,0.005283
3.84,0.003429
3.88,0.001726
3.92,7.5e-05
3.96,-0.001718
4.0,-0.003218
4.04,-0.004673
4.08,-0.005538
4.12,-0.005837
4.16,-0.005378
4.2,-0.004835
4.24,-0.004371
4.28,-0.00434
4.32,-0.004428
4.36,-0.004531
4.4,-0.00458
4.44,-0.004345
4.48,-0.003957
4.52,-0.003636
4.56,-0.003725
4.6,-0.003762
4.64,-0.004086
4.68,-0.004612
4.72,-0.005222
4.76,-0.005426
4.8,-0.005367
4.84,-0.004966
4.88,-0.004551
4.92,-0.004206
4.96,-0.004019
5.0,-0.004044
5.04,-0.004319
5.08,-0.004434
5.12,-0.004427
5.16,-0.004242
5.2,-0.004063
5.24,-0.003885
5.28,-0.003781
5.32,-0.003596
5.36,-0.003512
5.4,-0.003453
5.44,-0.003423
5.48,-0.003424
5.52,-0.003449
5.56,-0.003555
5.6,-0.003669
5.64,-0.003622
5.68,-0.003441
5.72,-0.003381
5.76,-0.003294
5.8,-0.003135
5.84,-0.00308
5.88,-0.003195
5.92,-0.003383
5.96,-0.003938
6.0,-0.004711
6.04,-0.005528
6.08,-0.005975
6.12,-0.006163
6.16,-0.005773
6.2,-0.004952
6.24,-0.004062
6.28,-0.003693
6.32,-0.003705
6.36,-0.004198
6.4,-0.004831
6.44,-0.005431
6.48,-0.005785
6.52,-0.005918
6.56,-0.005756
6.6,-0.005564
6.64,-0.005229
6.68,-0.004877
6.72,-0.004407
6.76,-0.00401
6.8,-0.003731
6.84,-0.003527
6.88,-0.003236
6.92,-0.003026
6.96,-0.002912
7.0,-0.002904
7.04,-0.003096
7.08,-0.00318
7.12,-0.003338
7.16,-0.003435
7.2,-0.003437
7.24,-0.003095
7.28,-0.002854
7.32,-0.002515
7.36,-0.002099
7.4,-0.001702
7.44,-0.001338
7.48,-0.001088
7.52,-0.000992
7.56,-0.00098
7.6,-0.001033
7.64,-0.001292
7.68,-0.001395
7.72,-0.001185
7.76,-0.000818
7.8,-0.000423
7.84,7.1e-05
7.88,0.000506
7.92,0.000542
7.96,0.000352
8.0,0.000149
8.04,-0.000132
8.08,-0.000381
8.12,-0.000549
8.16,-0.000627
8.2,-0.000754
8.24,-0.000977
8.28,-0.001152
8.32,-0.001252
8.36,-0.001397
8.4,-0.001377
8.44,-0.00116
8.48,-0.001062
8.52,-0.000899
8.56,-0.000839
8.6,-0.000852
8.64,-0.000932
8.68,-0.001025
8.72,-0.001112
8.76,-0.001037
8.8,-0.001033
8.84,-0.001164
8.88,-0.001271
8.92,-0.001465
8.96,-0.001686
9.0,-0.001743
9.04,-0.001676
9.08,-0.001608
9.12,-0.001415
9.16,-0.001369
9.2,-0.001489
9.24,-0.00148
9.28,-0.001597
9.32,-0.001968
9.36,-0.002286
9.4,-0.002464
9.44,-0.002726
9.48,-0.002728
9.52,-0.002436
9.56,-0.002031
9.6,-0.00178
9.64,-0.001726
9.68,-0.001906
9.72,-0.002011
9.76,-0.001967
9.8,-0.001651
9.84,-0.001144
9.88,-0.000383
9.92,0.000198
9.96,0.000643
10.0,0.000883
10.04,0.001201
10.08,0.001447
10.12,0.001773
10.16,0.002068
10.2,0.002536
10.24,0.002992
10.28,0.003354
10.32,0.003576
10.36,0.003564
10.4,0.003317
10.44,0.002802
10.48,0.002112
10.52,0.001437
10.56,0.000978
10.6,0.000523
10.64,0.000147
10.68,-0.000223
10.72,-0.000723
10.76,-0.001583
10.8,-0.002621
10.84,-0.003936
10.88,-0.005223
10.92,-0.006207
10.96,-0.00652
11.0,-0.006438
11.04,-0.005905
11.08,-0.005146
11.12,-0.004271
11.16,-0.003515
11.2,-0.002827
11.24,-0.001997
11.28,-0.001268
11.32,-0.000913
11.36,-0.001274
11.4,-0.002009
11.44,-0.00321
11.48,-0.004531
11.52,-0.005435
11.56,-0.005553
11.6,-0.005166
11.64,-0.004359
11.68,-0.003465
11.72,-0.002947
11.76,-0.002429
11.8,-0.001851
11.84,-0.001066
11.88,0.000257
11.92,0.00185
11.96,0.003282
12.0,0.004434
12.04,0.005318
12.08,0.00581
12.12,0.005986
12.16,0.00599
12.2,0.005708
12.24,0.004837
12.28,0.003537
12.32,0.002117
12.36,0.000422
12.4,-0.001275
12.44,-0.00266
12.48,-0.003987
12.52,-0.005182
12.56,-0.005982
12.6,-0.006161
12.64,-0.006015
12.68,-0.005746
12.72,-0.005361
12.76,-0.005022
12.8,-0.004916
12.84,-0.004851
12.88,-0.004534
12.92,-0.004279
12.96,-0.003985
13.0,-0.003624
13.04,-0.003266
13.08,-0.003227
13.12,-0.003157
13.16,-0.003218
13.2,-0.00345
13.24,-0.003856
13.28,-0.00409
13.32,-0.004274
13.36,-0.004205
13.4,-0.004035
13.44,-0.00378
13.48,-0.00339
13.52,-0.003061
13.56,-0.002872
13.6,-0.002719
13.64,-0.00259
13.68,-0.002502
13.72,-0.002306
13.76,-0.002172
13.8,-0.002105
13.84,-0.001972
13.88,-0.001815
13.92,-0.001577
13.96,-0.001248
14.0,-0.000841
14.04,-0.000497
14.08,-0.000249
14.12,-0.000181
14.16,-0.000209
14.2,-0.000298
14.24,-0.000365
14.28,-0.000462
14.32,-0.000559
14.36,-0.000624
14.4,-0.000685
14.44,-0.000709
14.48,-0.000643
14.52,-0.000567
14.56,-0.00048
14.6,-0.000384
14.64,-0.000295
14.68,-0.000242
14.72,-0.00014
14.76,-0.00019
14.8,-0.000237
14.84,-0.000374
14.88,-0.000543
14.92,-0.000746
14.96,-0.000866
15.0,-0.001014
15.04,-0.001182
15.08,-0.00128
15.12,-0.001316
15.16,-0.001222
15.2,-0.001133
15.24,-0.000958
15.28,-0.000817
15.32,-0.000792
15.36,-0.000792
15.4,-0.000846
15.44,-0.000921
15.48,-0.001024
15.52,-0.001136
15.56,-0.001292
15.6,-0.001379
15.64,-0.001458
15.68,-0.001462
15.72,-0.001342
15.76,-0.001226
15.8,-0.001074
15.84,-0.00094
15.88,-0.000892
15.92,-0.000877
15.96,-0.000766
16.0,-0.000675
16.04,-0.000562
16.08,-0.000443
16.12,-0.000365
16.16,-0.000347
16.2,-0.000384
16.24,-0.000458
16.28,-0.000425
16.32,-0.000425
16.36,-0.000475
16.4,-0.000495
16.44,-0.000425
16.48,-0.000394
16.52,-0.000365
16.56,-0.000244
16.6,-3.8e-05
16.64,0.000106
16.68,0.000104
16.72,0.000229
16.76,0.000287
16.8,0.000358
16.84,0.000329
16.88,0.000356
16.92,0.000329
16.96,0.000287
17.0,0.00026
17.04,0.000237
17.08,0.000232
17.12,0.000201
17.16,0.000205
17.2,9e-05
17.24,4.2e-05
17.28,1.9e-05
17.32,-1.4e-05
17.36,-4.5e-05
17.4,-3.5e-05
17.44,-3e-05
17.48,6.9e-05
17.52,0.000216
17.56,0.000308
17.6,0.000247
17.64,0.000205
17.68,0.00013
17.72,-9e-06
17.76,-9.2e-05
17.8,1.8e-05
17.84,4.5e-05
17.88,5.5e-05
17.92,0.000148
17.96,0.000149
18.0,6.9e-05
18.04,9.1e-05
18.08,4.5e-05
18.12,-6e-06
18.16,5.1e-05
18.2,7.4e-05
