time_s,K_filt
24.92,0.012248
24.96,0.012448
25.0,0.012461
25.04,0.012438
25.08,0.012226
25.12,0.011715
25.16,0.011441
25.2,0.011217
25.24,0.011312
25.28,0.011393
25.32,0.011684
25.36,0.011477
25.4,0.011311
25.44,0.010793
25.48,0.010271
25.52,0.009721
25.56,0.0093
25.6,0.00882
25.64,0.008391
25.68,0.007952
25.72,0.007438
25.76,0.007084
25.8,0.00652
25.84,0.006257
25.88,0.005981
25.92,0.005817
25.96,0.005671
26.0,0.005612
26.04,0.005191
26.08,0.004867
26.12,0.004487
26.16,0.003992
26.2,0.003674
26.24,0.003535
26.28,0.00326
26.32,0.003198
26.36,0.003096
26.4,0.002993
26.44,0.003048
26.48,0.002926
26.52,0.002702
26.56,0.002646
26.6,0.002569
26.64,0.002256
26.68,0.002186
26.72,0.002141
26.76,0.001985
26.8,0.002004
26.84,0.002012
26.88,0.00211
26.92,0.00212
26.96,0.002074
27.0,0.001894
27.04,0.001929
27.08,0.001753
27.12,0.001529
27.16,0.001462
27.2,0.001414
27.24,0.001122
27.28,0.001082
27.32,0.001273
27.36,0.001308
27.4,0.001238
27.44,0.001358
27.48,0.001237
27.52,0.000866
27.56,0.000357
27.6,-0.001295
27.64,-0.004481
27.68,-0.007987
27.72,-0.011634
27.76,-0.015066
27.8,-0.017723
27.84,-0.019352
27.88,-0.020425
27.92,-0.021108
27.96,-0.021868
28.0,-0.022436
28.04,-0.021875
28.08,-0.020731
28.12,-0.019434
28.16,-0.01789
28.2,-0.016594
28.24,-0.015713
28.28,-0.015321
28.32,-0.015064
28.36,-0.014826
28.4,-0.013849
28.44,-0.013117
28.48,-0.012594
28.52,-0.012275
28.56,-0.012381
28.6,-0.014479
28.64,-0.017701
28.68,-0.018863
28.72,-0.019508
28.76,-0.023251
28.8,-0.028985
28.84,-0.033501
28.88,-0.038499
28.92,-0.041424
28.96,-0.040389
29.0,-0.033601
29.04,-0.026551
29.08,-0.019635
29.12,-0.014039
29.16,-0.005242
29.2,0.003508
29.24,0.013909
29.28,0.023098
29.32,0.032806
29.36,0.039451
29.4,0.045895
29.44,0.049875
29.48,0.053206
29.52,0.054127
29.56,0.054041
29.6,0.051727
29.64,0.04959
29.68,0.047776
29.72,0.046324
29.76,0.044787
29.8,0.043405
29.84,0.041865
29.88,0.039709
29.92,0.037385
29.96,0.035271
30.0,0.033149
30.04,0.031179
30.08,0.029586
30.12,0.028442
30.16,0.027459
30.2,0.026804
30.24,0.026332
30.28,0.026208
30.32,0.025696
30.36,0.025124
30.4,0.024445
30.44,0.02631
30.48,0.029759
30.52,0.034675
30.56,0.04071
30.6,0.047432
30.64,0.051778
30.68,0.05272
30.72,0.050488
30.76,0.047279
30.8,0.045904
30.84,0.041509
30.88,0.038295
30.92,0.040809
30.96,0.045193
31.0,0.049199
31.04,0.0554
31.08,0.0611
31.12,0.062125
31.16,0.059974
31.2,0.056468
31.24,0.051546
31.28,0.046929
31.32,0.039092
31.36,0.032239
31.4,0.023754
31.44,0.018089
